id,team,season,games_played,wins,losses,ot_losses,points,points_pct,goals_for,goals_against,goals_per_game,goals_against_per_game,goal_differential,shots_for,shots_against,shots_per_game,shots_against_per_game,pp_goals,pp_opportunities,pp_pct,pk_goals_against,pk_opportunities,pk_pct,faceoff_wins,faceoff_total,faceoff_pct,ot_wins,so_wins,so_losses,ot_game_pct,home_wins,home_losses,home_ot_losses,away_wins,away_losses,away_ot_losses,current_streak,last_10_record,division,conference,division_rank,conference_rank,league_rank,created_at
47,DAL,20202021,56,23,19,14,60,0.5357142857142857,158,154,2.8214285714285716,2.75,4,1699,1518,30.339285714285715,27.107142857142858,0,0,0.0,0,0,0.0,0,0,0.0,6,0,0,0.0,13,0,0,10,0,0,,,,,,,,2026-02-24 17:47:19
52,DET,20202021,56,19,27,10,48,0.42857142857142855,127,171,2.267857142857143,3.0535714285714284,-44,1528,1786,27.285714285714285,31.892857142857142,0,0,0.0,0,0,0.0,0,0,0.0,3,0,0,0.0,12,0,0,7,0,0,,,,,,,,2026-02-24 17:47:19
57,EDM,20202021,60,35,20,5,75,0.625,191,168,3.183333333333333,2.8,23,1833,1855,30.55,30.916666666666668,0,0,0.0,0,0,0.0,0,0,0.0,4,0,0,0.0,16,0,0,19,0,0,,,,,,,,2026-02-24 17:47:19
64,FLA,20202021,62,39,18,5,83,0.6693548387096774,206,177,3.3225806451612905,2.8548387096774195,29,2181,1869,35.17741935483871,30.14516129032258,0,0,0.0,0,0,0.0,0,0,0.0,12,0,0,0.0,21,0,0,18,0,0,,,,,,,,2026-02-24 17:47:19
69,LAK,20202021,56,21,28,7,49,0.4375,143,170,2.5535714285714284,3.0357142857142856,-27,1587,1746,28.339285714285715,31.178571428571427,0,0,0.0,0,0,0.0,0,0,0.0,2,0,0,0.0,9,0,0,12,0,0,,,,,,,,2026-02-24 17:47:19
75,MIN,20202021,63,38,20,5,81,0.6428571428571429,194,180,3.0793650793650795,2.857142857142857,14,1759,1930,27.92063492063492,30.634920634920636,0,0,0.0,0,0,0.0,0,0,0.0,9,0,0,0.0,22,0,0,16,0,0,,,,,,,,2026-02-24 17:47:19
80,MTL,20202021,78,37,29,12,86,0.5512820512820513,210,222,2.6923076923076925,2.8461538461538463,-12,2381,2255,30.525641025641026,28.91025641025641,0,0,0.0,0,0,0.0,0,0,0.0,10,0,0,0.0,19,0,0,18,0,0,,,,,,,,2026-02-24 17:47:19
85,NJD,20202021,56,19,30,7,45,0.4017857142857143,145,194,2.5892857142857144,3.4642857142857144,-49,1612,1737,28.785714285714285,31.017857142857142,0,0,0.0,0,0,0.0,0,0,0.0,4,0,0,0.0,7,0,0,12,0,0,,,,,,,,2026-02-24 17:47:19
90,NSH,20202021,62,33,25,4,70,0.5645161290322581,172,176,2.774193548387097,2.838709677419355,-4,1884,2007,30.387096774193548,32.37096774193548,0,0,0.0,0,0,0.0,0,0,0.0,12,0,0,0.0,20,0,0,13,0,0,,,,,,,,2026-02-24 17:47:19
95,NYI,20202021,75,43,24,8,94,0.6266666666666667,210,181,2.8,2.4133333333333336,29,2164,2258,28.85333333333333,30.106666666666666,0,0,0.0,0,0,0.0,0,0,0.0,12,0,0,0.0,27,0,0,16,0,0,,,,,,,,2026-02-24 17:47:19
100,NYR,20202021,56,27,23,6,60,0.5357142857142857,177,157,3.1607142857142856,2.8035714285714284,20,1607,1664,28.696428571428573,29.714285714285715,0,0,0.0,0,0,0.0,0,0,0.0,3,0,0,0.0,14,0,0,13,0,0,,,,,,,,2026-02-24 17:47:19
105,OTT,20202021,56,23,28,5,51,0.45535714285714285,157,190,2.8035714285714284,3.392857142857143,-33,1663,1799,29.696428571428573,32.125,0,0,0.0,0,0,0.0,0,0,0.0,5,0,0,0.0,14,0,0,9,0,0,,,,,,,,2026-02-24 17:47:19
110,PHI,20202021,56,25,23,8,58,0.5178571428571429,163,201,2.9107142857142856,3.5892857142857144,-38,1692,1636,30.214285714285715,29.214285714285715,0,0,0.0,0,0,0.0,0,0,0.0,8,0,0,0.0,12,0,0,13,0,0,,,,,,,,2026-02-24 17:47:19
115,PIT,20202021,62,39,18,5,83,0.6693548387096774,212,177,3.4193548387096775,2.8548387096774195,35,1915,1866,30.887096774193548,30.096774193548388,0,0,0.0,0,0,0.0,0,0,0.0,8,0,0,0.0,23,0,0,16,0,0,,,,,,,,2026-02-24 17:47:19
124,SJS,20202021,56,21,28,7,49,0.4375,151,199,2.6964285714285716,3.5535714285714284,-48,1682,1791,30.035714285714285,31.982142857142858,0,0,0.0,0,0,0.0,0,0,0.0,6,0,0,0.0,11,0,0,10,0,0,,,,,,,,2026-02-24 17:47:19
129,STL,20202021,60,27,24,9,63,0.525,176,190,2.933333333333333,3.1666666666666665,-14,1732,1815,28.866666666666667,30.25,0,0,0.0,0,0,0.0,0,0,0.0,8,0,0,0.0,12,0,0,15,0,0,,,,,,,,2026-02-24 17:47:19
134,TBL,20202021,79,52,20,7,111,0.7025316455696202,256,192,3.240506329113924,2.430379746835443,64,2372,2283,30.025316455696203,28.89873417721519,0,0,0.0,0,0,0.0,0,0,0.0,7,0,0,0.0,30,0,0,22,0,0,,,,,,,,2026-02-24 17:47:19
139,TOR,20202021,63,38,16,9,85,0.6746031746031746,205,162,3.253968253968254,2.5714285714285716,43,1987,1756,31.53968253968254,27.873015873015873,0,0,0.0,0,0,0.0,0,0,0.0,6,0,0,0.0,19,0,0,19,0,0,,,,,,,,2026-02-24 17:47:19
